Driver,LapNumber,Stint,Compound,TrackStatus,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedFL
LEC,3.0,2.0,HARD,1,84.624,0 days 00:00:24.007000,0 days 00:00:38.235000,0 days 00:00:22.382000,199.0,250.0
LEC,4.0,2.0,HARD,1,82.625,0 days 00:00:21.892000,0 days 00:00:38.779000,0 days 00:00:21.954000,192.0,252.0
LEC,5.0,2.0,HARD,1,81.795,0 days 00:00:21.314000,0 days 00:00:38.513000,0 days 00:00:21.968000,196.0,253.0
LEC,6.0,2.0,HARD,1,81.145,0 days 00:00:21.568000,0 days 00:00:38.168000,0 days 00:00:21.409000,190.0,252.0
LEC,7.0,2.0,HARD,1,80.98,0 days 00:00:21.370000,0 days 00:00:38.056000,0 days 00:00:21.554000,193.0,253.0
LEC,8.0,2.0,HARD,1,81.03,0 days 00:00:21.250000,0 days 00:00:38.171000,0 days 00:00:21.609000,190.0,252.0
LEC,9.0,2.0,HARD,1,80.114,0 days 00:00:21.092000,0 days 00:00:37.612000,0 days 00:00:21.410000,197.0,252.0
LEC,10.0,2.0,HARD,1,80.775,0 days 00:00:21.036000,0 days 00:00:37.886000,0 days 00:00:21.853000,196.0,252.0
LEC,11.0,2.0,HARD,1,81.046,0 days 00:00:21.279000,0 days 00:00:38.236000,0 days 00:00:21.531000,192.0,253.0
LEC,12.0,2.0,HARD,1,80.252,0 days 00:00:20.949000,0 days 00:00:37.730000,0 days 00:00:21.573000,196.0,252.0
LEC,13.0,2.0,HARD,1,79.017,0 days 00:00:20.818000,0 days 00:00:36.898000,0 days 00:00:21.301000,200.0,253.0
LEC,14.0,2.0,HARD,1,79.913,0 days 00:00:20.847000,0 days 00:00:38.003000,0 days 00:00:21.063000,198.0,253.0
LEC,15.0,2.0,HARD,1,79.838,0 days 00:00:20.763000,0 days 00:00:37.770000,0 days 00:00:21.305000,202.0,252.0
LEC,16.0,2.0,HARD,1,80.156,0 days 00:00:21.139000,0 days 00:00:37.516000,0 days 00:00:21.501000,195.0,253.0
LEC,17.0,2.0,HARD,1,80.279,0 days 00:00:20.925000,0 days 00:00:37.498000,0 days 00:00:21.856000,202.0,253.0
LEC,18.0,2.0,HARD,1,79.58,0 days 00:00:20.612000,0 days 00:00:37.578000,0 days 00:00:21.390000,199.0,254.0
LEC,19.0,2.0,HARD,1,78.842,0 days 00:00:20.806000,0 days 00:00:36.890000,0 days 00:00:21.146000,202.0,253.0
LEC,20.0,2.0,HARD,1,78.724,0 days 00:00:20.573000,0 days 00:00:37.018000,0 days 00:00:21.133000,197.0,254.0
LEC,21.0,2.0,HARD,1,78.472,0 days 00:00:20.609000,0 days 00:00:36.874000,0 days 00:00:20.989000,199.0,254.0
LEC,22.0,2.0,HARD,1,78.62,0 days 00:00:20.591000,0 days 00:00:37.004000,0 days 00:00:21.025000,201.0,255.0
LEC,23.0,2.0,HARD,1,78.458,0 days 00:00:20.638000,0 days 00:00:36.755000,0 days 00:00:21.065000,202.0,254.0
LEC,25.0,2.0,HARD,1,78.973,0 days 00:00:20.408000,0 days 00:00:37.435000,0 days 00:00:21.130000,203.0,254.0
LEC,26.0,2.0,HARD,1,78.445,0 days 00:00:20.305000,0 days 00:00:37.048000,0 days 00:00:21.092000,204.0,254.0
LEC,27.0,2.0,HARD,1,78.351,0 days 00:00:20.507000,0 days 00:00:36.769000,0 days 00:00:21.075000,201.0,255.0
LEC,28.0,2.0,HARD,1,78.71,0 days 00:00:20.535000,0 days 00:00:37.208000,0 days 00:00:20.967000,194.0,255.0
LEC,29.0,2.0,HARD,1,79.053,0 days 00:00:20.429000,0 days 00:00:37.312000,0 days 00:00:21.312000,200.0,255.0
LEC,30.0,2.0,HARD,1,79.935,0 days 00:00:21.091000,0 days 00:00:37.380000,0 days 00:00:21.464000,194.0,255.0
LEC,31.0,2.0,HARD,1,78.393,0 days 00:00:20.706000,0 days 00:00:36.687000,0 days 00:00:21,197.0,256.0
LEC,32.0,2.0,HARD,1,79.125,0 days 00:00:20.483000,0 days 00:00:37.216000,0 days 00:00:21.426000,196.0,255.0
LEC,33.0,2.0,HARD,1,78.494,0 days 00:00:20.510000,0 days 00:00:36.916000,0 days 00:00:21.068000,202.0,256.0
LEC,34.0,2.0,HARD,1,79.319,0 days 00:00:20.412000,0 days 00:00:37.589000,0 days 00:00:21.318000,199.0,255.0
LEC,35.0,2.0,HARD,1,78.53,0 days 00:00:20.503000,0 days 00:00:36.672000,0 days 00:00:21.355000,202.0,256.0
LEC,36.0,2.0,HARD,1,78.689,0 days 00:00:20.697000,0 days 00:00:36.919000,0 days 00:00:21.073000,201.0,257.0
LEC,37.0,2.0,HARD,1,78.925,0 days 00:00:21.082000,0 days 00:00:36.570000,0 days 00:00:21.273000,202.0,257.0
LEC,38.0,2.0,HARD,1,78.528,0 days 00:00:20.612000,0 days 00:00:36.704000,0 days 00:00:21.212000,198.0,257.0
LEC,39.0,2.0,HARD,1,78.181,0 days 00:00:20.815000,0 days 00:00:36.297000,0 days 00:00:21.069000,202.0,259.0
LEC,40.0,2.0,HARD,1,78.733,0 days 00:00:20.538000,0 days 00:00:37.054000,0 days 00:00:21.141000,199.0,258.0
LEC,41.0,2.0,HARD,1,78.694,0 days 00:00:20.486000,0 days 00:00:36.988000,0 days 00:00:21.220000,195.0,265.0
LEC,42.0,2.0,HARD,1,79.277,0 days 00:00:20.683000,0 days 00:00:37.359000,0 days 00:00:21.235000,200.0,254.0
LEC,43.0,2.0,HARD,1,77.865,0 days 00:00:20.293000,0 days 00:00:36.710000,0 days 00:00:20.862000,203.0,255.0
LEC,44.0,2.0,HARD,1,78.276,0 days 00:00:20.687000,0 days 00:00:36.752000,0 days 00:00:20.837000,199.0,255.0
LEC,45.0,2.0,HARD,1,78.541,0 days 00:00:20.582000,0 days 00:00:36.789000,0 days 00:00:21.170000,200.0,255.0
LEC,46.0,2.0,HARD,1,78.567,0 days 00:00:20.600000,0 days 00:00:37.066000,0 days 00:00:20.901000,196.0,256.0
LEC,47.0,2.0,HARD,1,79.185,0 days 00:00:20.506000,0 days 00:00:37.404000,0 days 00:00:21.275000,195.0,256.0
LEC,48.0,2.0,HARD,1,77.941,0 days 00:00:20.379000,0 days 00:00:36.484000,0 days 00:00:21.078000,197.0,256.0
LEC,49.0,2.0,HARD,1,78.506,0 days 00:00:20.674000,0 days 00:00:36.889000,0 days 00:00:20.943000,196.0,256.0
LEC,50.0,2.0,HARD,1,78.185,0 days 00:00:20.293000,0 days 00:00:36.878000,0 days 00:00:21.014000,202.0,257.0
LEC,51.0,2.0,HARD,1,77.79,0 days 00:00:20.269000,0 days 00:00:36.519000,0 days 00:00:21.002000,196.0,265.0
LEC,52.0,2.0,HARD,1,78.311,0 days 00:00:20.381000,0 days 00:00:36.839000,0 days 00:00:21.091000,198.0,256.0
LEC,54.0,2.0,HARD,1,77.357,0 days 00:00:20.182000,0 days 00:00:36.412000,0 days 00:00:20.763000,202.0,258.0
LEC,55.0,2.0,HARD,1,77.444,0 days 00:00:20.377000,0 days 00:00:36.322000,0 days 00:00:20.745000,194.0,256.0
LEC,57.0,2.0,HARD,1,77.64,0 days 00:00:20.132000,0 days 00:00:36.818000,0 days 00:00:20.690000,206.0,256.0
LEC,58.0,2.0,HARD,1,77.028,0 days 00:00:20.246000,0 days 00:00:36.138000,0 days 00:00:20.644000,199.0,256.0
LEC,59.0,2.0,HARD,1,77.034,0 days 00:00:20.420000,0 days 00:00:36.197000,0 days 00:00:20.417000,202.0,257.0
LEC,60.0,2.0,HARD,1,76.414,0 days 00:00:19.989000,0 days 00:00:36.033000,0 days 00:00:20.392000,200.0,258.0
LEC,61.0,2.0,HARD,1,76.863,0 days 00:00:20.047000,0 days 00:00:36.432000,0 days 00:00:20.384000,197.0,258.0
LEC,62.0,2.0,HARD,1,77.454,0 days 00:00:20.116000,0 days 00:00:36.443000,0 days 00:00:20.895000,199.0,258.0
LEC,63.0,2.0,HARD,1,76.971,0 days 00:00:20.095000,0 days 00:00:36.187000,0 days 00:00:20.689000,201.0,257.0
LEC,64.0,2.0,HARD,1,76.56,0 days 00:00:19.996000,0 days 00:00:35.953000,0 days 00:00:20.611000,198.0,257.0
LEC,65.0,2.0,HARD,1,76.607,0 days 00:00:20.094000,0 days 00:00:35.912000,0 days 00:00:20.601000,202.0,258.0
